outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,3,1300,0.3204886,0.2383615,0.43049186,-0.013504593,0.038129777,0.10356842,-685.4083
1,3,1325,0.42125663,0.24012257,0.45413145,-0.038798645,0.038318176,0.10090882,-634.63196
1,3,1350,0.35478196,0.24254721,0.48128396,-0.061334047,0.038533382,0.10032779,-682.0721
1,3,1375,0.45855662,0.24397345,0.49570906,-0.04744983,0.03868111,0.10041329,-673.7921
1,3,1400,0.5491665,0.24813999,0.5207104,-0.057290535,0.038908966,0.100430764,-670.0088
1,3,1425,0.45056853,0.2513621,0.5299032,-0.0019626515,0.038971223,0.09805496,-684.25165
1,3,1450,0.54524,0.24753317,0.5286598,0.061679322,0.039013527,0.09625595,-672.693
1,3,1475,0.5119291,0.24778211,0.54608166,0.029977081,0.039303433,0.11010101,-660.572
1,3,1500,0.59735507,0.26515022,0.5537085,0.024849828,0.038688105,0.11240248,-667.53674
1,3,1525,0.5541945,0.27211282,0.5670595,0.025303258,0.038233157,0.100014605,-668.7834
1,3,1550,0.4397565,0.26939628,0.5670467,0.04104571,0.038470063,0.110903144,-636.9931
1,3,1575,0.4754312,0.2752835,0.5694376,0.032622777,0.03812874,0.11200747,-665.8662
1,3,1600,0.63836175,0.27911124,0.59577966,0.005423905,0.038207114,0.112987824,-646.329
1,3,1625,0.35107422,0.30019936,0.6004186,0.07522863,0.038007446,0.11426458,-674.5449
1,3,1650,0.42466098,0.30410162,0.5837754,0.18897367,0.037357215,0.1041334,-675.41736
1,3,1675,0.6315322,0.28984448,0.5840771,0.20824175,0.03735044,0.09871098,-657.3444
1,3,1700,0.6687927,0.27870527,0.60062724,0.15169208,0.037756197,0.116052315,-620.3263
1,3,1725,0.3992849,0.30243424,0.5984456,0.13384542,0.037341364,0.11697208,-624.62726
1,3,1750,0.6132373,0.30516022,0.60092044,0.13214768,0.036885805,0.10606134,-615.5622
1,3,1775,0.5159067,0.29375216,0.6090934,0.12658392,0.037091326,0.10578469,-671.81134
1,3,1800,0.48171112,0.287558,0.6173311,0.101348765,0.03739867,0.11119395,-637.28876
1,3,1825,0.5661243,0.29098353,0.618037,0.11595331,0.037336886,0.1115157,-656.06055
1,3,1850,0.48597974,0.29778174,0.61069196,0.17016175,0.03710557,0.10930154,-669.45874
1,3,1875,0.4258162,0.29374745,0.59933114,0.22021654,0.036947962,0.1008058,-672.80066
1,3,1900,0.5527958,0.28126618,0.5845417,0.24989338,0.0371738,0.09974361,-661.53516
1,3,1925,0.4736844,0.26860458,0.59910905,0.18473394,0.037691336,0.10043853,-675.6902
1,3,1950,0.4766237,0.27112705,0.60302293,0.15197313,0.037728187,0.10802099,-670.4731
1,3,1975,0.46004295,0.2792123,0.5985921,0.17095469,0.03749765,0.103569284,-675.9285
1,3,2000,0.46097457,0.2764502,0.58992296,0.19732101,0.03744414,0.10134583,-677.4116
1,4,0,0.5717992,0.036492914,0.09572377,-0.002708368,0.10030083,0.11512554,13481.181
1,4,25,0.20034134,0.042915408,0.112038374,-0.16201702,0.12106401,0.13935362,190.09016
1,4,50,0.1286609,0.045508415,0.11676134,-0.202295,0.12585038,0.14501342,-403.70294
1,4,75,0.120575376,0.04701562,0.1187479,-0.21798763,0.12285135,0.14322945,-163.44324
1,4,100,0.124051645,0.048420954,0.1205304,-0.23109539,0.11836535,0.14019285,-344.77405
1,4,125,0.12309817,0.049808327,0.12264374,-0.24471498,0.11360347,0.13698536,-368.4745
1,4,150,0.12299466,0.051401477,0.124994196,-0.25925267,0.108752415,0.13411237,-354.6974
1,4,175,0.12428721,0.053221907,0.127542,-0.27473143,0.10404015,0.13165317,-454.42548
1,4,200,0.1240602,0.054985892,0.13049795,-0.29010966,0.09949597,0.12976645,-299.72903
1,4,225,0.12485552,0.056678735,0.133164,-0.30419782,0.095133215,0.12869352,-387.79077
1,4,250,0.12560469,0.058371753,0.13590361,-0.31782028,0.090903744,0.12826653,-358.2518
1,4,275,0.12561546,0.060171466,0.13798122,-0.32983586,0.086753815,0.1281711,-474.2176
1,4,300,0.12517473,0.062041786,0.13985117,-0.3413212,0.08279269,0.1283674,-514.58826
1,4,325,0.12386708,0.06388189,0.14172818,-0.35195702,0.078966424,0.12879613,-515.8484
1,4,350,0.1223502,0.06581527,0.14400071,-0.3635597,0.07518992,0.12867057,-486.7781
1,4,375,0.12152124,0.06792594,0.14577878,-0.37288135,0.07134515,0.1275505,-527.6049
1,4,400,0.12054597,0.07019742,0.1474213,-0.38012248,0.06763954,0.1260545,-515.3383
1,4,425,0.1206918,0.07243248,0.14905661,-0.3865669,0.06416601,0.124778084,-548.762
