outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,5,600,0.4566477,0.36916047,0.2555463,0.64088416,0.16129641,-92.02945
1,5,625,0.44503933,0.36529604,0.25302768,0.6159461,0.16068082,-90.59686
1,5,650,0.43459952,0.3476837,0.24971355,0.57328635,0.16096593,-94.43213
1,5,675,0.42790484,0.34858423,0.24272548,0.5618719,0.16112322,-95.44233
1,5,700,0.41698956,0.3420365,0.24264683,0.60541826,0.1608283,-95.56749
1,5,725,0.42960572,0.34734237,0.24053326,0.6454307,0.16368903,-97.52137
1,5,750,0.419267,0.33419853,0.24300787,0.6457243,0.16422226,-96.17762
1,5,775,0.40945706,0.33555177,0.24078019,0.64215297,0.16111176,-97.15537
1,5,800,0.40039176,0.32710624,0.2435552,0.5948643,0.16031419,-100.10334
1,5,825,0.39700392,0.3347259,0.24515279,0.56259495,0.1605658,-98.50533
1,5,850,0.4000288,0.32203978,0.23958649,0.58414155,0.16679133,-86.61679
1,5,875,0.39474183,0.33088592,0.23954502,0.6134889,0.16403066,-97.77651
1,5,900,0.3921965,0.32889876,0.24231102,0.5887476,0.16057849,-96.62911
1,5,925,0.3852596,0.32712302,0.24273717,0.5836139,0.16030432,-99.246086
1,5,950,0.38267758,0.32648608,0.24398008,0.6421151,0.16168024,-98.48544
1,5,975,0.38713613,0.33127517,0.23897202,0.6080005,0.16159596,-97.950005
1,5,1000,0.3818959,0.31884536,0.25118765,0.5948642,0.16048335,-95.419426
1,6,0,0.7205432,0.10365913,0.12967452,-0.039380644,0.13318111,10625.251
1,6,25,0.5351954,0.45525524,0.4332315,0.27661514,0.39798623,418.7497
1,6,50,0.4218461,0.7206634,0.3720423,0.19429553,0.4344786,221.42105
1,6,75,0.39170685,0.6798598,0.31480247,0.30905783,0.37754756,140.90195
1,6,100,0.37477434,0.5984544,0.30174825,0.44225475,0.3159052,76.9917
1,6,125,0.36035934,0.54525244,0.28996715,0.57075393,0.26304835,20.332678
1,6,150,0.35137713,0.49196765,0.29826242,0.6957613,0.22305533,-28.44414
1,6,175,0.34804654,0.44753882,0.30776772,0.7188519,0.19543792,-53.352192
1,6,200,0.34829834,0.4245579,0.29158238,0.70084774,0.17913812,-65.753914
1,6,225,0.34863746,0.41361174,0.28864858,0.7057509,0.17116298,-65.34358
1,6,250,0.35032398,0.40972134,0.29279685,0.6889707,0.16900769,-70.08645
1,6,275,0.3491144,0.4103797,0.28992656,0.69979644,0.1682056,-71.61345
1,6,300,0.34925172,0.4102518,0.28910702,0.70539284,0.16774395,-74.14791
1,6,325,0.3503342,0.40838733,0.29285118,0.6974586,0.16894235,-72.038795
1,6,350,0.3466068,0.40166616,0.28705293,0.7046919,0.16855244,-72.19072
1,6,375,0.34146798,0.40036106,0.27723524,0.7116735,0.1685032,-70.18668
1,6,400,0.34273088,0.39381337,0.28081456,0.6954433,0.1684228,-72.58269
1,6,425,0.34470752,0.4012625,0.27627638,0.67579406,0.16909164,-69.13926
1,6,450,0.34507707,0.39783552,0.26977828,0.6817207,0.16954443,-69.50537
1,6,475,0.33503258,0.39519712,0.2573503,0.6934743,0.16880572,-74.4781
1,6,500,0.3307097,0.38904464,0.25280365,0.67195284,0.16896278,-75.635666
1,6,525,0.32878327,0.37834483,0.25685343,0.65917677,0.16889513,-77.98332
1,6,550,0.32455835,0.37866515,0.24511968,0.6731276,0.16787669,-81.06314
1,6,575,0.3222994,0.36631358,0.23805243,0.6462511,0.16776754,-81.310585
1,6,600,0.31502566,0.35852286,0.22579373,0.64575404,0.16857651,-78.40831
1,6,625,0.3113337,0.353506,0.23235545,0.6064048,0.1682179,-84.35603
1,6,650,0.30584845,0.33949888,0.21938206,0.54894745,0.17246252,-85.74686
1,6,675,0.30736032,0.33741063,0.21757387,0.5370518,0.16951525,-86.68816
1,6,700,0.3063509,0.3208882,0.21916388,0.53257555,0.17029707,-80.84685
1,6,725,0.29608402,0.32935107,0.21050866,0.49800444,0.16899721,-89.396866
1,6,750,0.29099324,0.31367266,0.21779978,0.49653432,0.17000385,-75.94184
1,6,775,0.29505825,0.30558765,0.21215525,0.5265892,0.18227868,-29.190935
1,6,800,0.3021966,0.3170881,0.21905155,0.47997278,0.18153639,-83.80766
1,6,825,0.29471758,0.31427443,0.20640904,0.53017294,0.1698932,-86.82348
1,6,850,0.28899103,0.3077203,0.2163118,0.51789474,0.16728804,-90.19119
1,6,875,0.28646398,0.3071334,0.21678545,0.48255232,0.16951625,-89.13064
1,6,900,0.28214252,0.2946319,0.21182726,0.48622468,0.16927744,-91.27048
1,6,925,0.2903382,0.29932663,0.21421528,0.46793178,0.1726403,-91.152885
1,6,950,0.28244248,0.29747528,0.20811398,0.50067043,0.16982038,-93.09375
1,6,975,0.27801427,0.29445273,0.21433623,0.48924536,0.16969664,-81.026474
1,6,1000,0.2855862,0.2992752,0.20965733,0.48907334,0.16995417,-89.32209
1,7,0,0.6010441,0.15422226,0.10741924,-0.021639232,0.11093056,13244.524
1,7,25,0.36682987,0.6689954,0.4504318,0.470725,0.28423372,124.945984
1,7,50,0.34044385,0.7190668,0.48867464,0.5956524,0.29470757,81.19588
1,7,75,0.3125739,0.57029736,0.3975041,0.56505096,0.26321384,25.681839
1,7,100,0.29708302,0.47491616,0.35367325,0.57458484,0.23245692,-10.650819
1,7,125,0.2820484,0.44271705,0.34010398,0.60318935,0.20852138,-38.35912
1,7,150,0.276966,0.40778032,0.33516765,0.6229779,0.19082735,-54.0855
1,7,175,0.2678623,0.40845406,0.31189194,0.64211035,0.17923528,-70.95522
1,7,200,0.2633946,0.3843896,0.2906192,0.6534853,0.17046797,-81.746056
1,7,225,0.2591531,0.38995305,0.28469467,0.6343499,0.16522026,-85.0715
1,7,250,0.25743383,0.37375546,0.29254633,0.63686866,0.16274683,-83.1576
1,7,275,0.2555135,0.378203,0.29519573,0.6752747,0.16247784,-84.99
1,7,300,0.25614345,0.38356936,0.29091653,0.6501453,0.16187787,-88.80347
1,7,325,0.25223905,0.36964205,0.2856334,0.66601133,0.16158794,-73.48619
1,7,350,0.2508155,0.36783558,0.2909862,0.6794972,0.16340853,-87.521065
1,7,375,0.2502599,0.37441036,0.28488216,0.6838289,0.16200794,-85.423904
1,7,400,0.24891946,0.37517995,0.28228465,0.6591122,0.16143124,-89.42631
1,7,425,0.2478658,0.36624068,0.28098774,0.6623309,0.16207577,-89.43474
1,7,450,0.24998145,0.37015057,0.27659103,0.62455577,0.16186966,-90.34196
1,7,475,0.25138465,0.36064997,0.27339223,0.6457419,0.16171065,-87.37213
1,7,500,0.24776056,0.36277497,0.26824665,0.6625775,0.16360229,-91.83
1,7,525,0.24621911,0.35111678,0.26054013,0.63927734,0.16291417,-92.84188
1,7,550,0.2492797,0.34828773,0.25966012,0.6029863,0.16374116,-94.01349
1,7,575,0.24531646,0.349382,0.25746918,0.56981486,0.16366747,-86.71303
1,7,600,0.24799502,0.33510548,0.25142455,0.5628705,0.16434626,-67.186844
1,7,625,0.2453729,0.33275306,0.25589836,0.57989204,0.16330273,-94.41144
1,7,650,0.24616507,0.33330688,0.24529505,0.5377568,0.16350603,-92.54666
1,7,675,0.24561699,0.32859182,0.24048087,0.53360665,0.16223684,-95.13619
1,7,700,0.24362625,0.33774465,0.24462424,0.5924841,0.17130692,-94.65008
1,7,725,0.24461858,0.33220822,0.23777221,0.5543531,0.16379043,-96.18115
1,7,750,0.24316853,0.3343181,0.25152364,0.5524496,0.16114128,-92.229065
1,7,775,0.24503785,0.32683873,0.23804095,0.5282883,0.16205043,-79.57121
1,7,800,0.2428416,0.32769087,0.2512341,0.53340787,0.16292349,-91.19696
1,7,825,0.24852818,0.32418862,0.24208477,0.55644083,0.16367406,-87.28863
1,7,850,0.23978226,0.3285043,0.24828713,0.526761,0.16440877,-88.578476
1,7,875,0.24369346,0.32296827,0.24365939,0.5607796,0.1625292,-95.973274
1,7,900,0.25473824,0.31700587,0.24729545,0.52538556,0.16151085,-76.68264
1,7,925,0.24798012,0.31325817,0.24388051,0.5781621,0.16869596,-91.019684
1,7,950,0.23981652,0.32029784,0.25529975,0.5490048,0.162294,-92.82882
1,7,975,0.24285449,0.32501286,0.23824896,0.5327784,0.16252303,-88.41786
1,7,1000,0.2454286,0.3299415,0.23868981,0.49008298,0.16399868,-93.01295
