outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,7,225,0.27139062,0.3395258,0.2898799,0.71212435,0.0928631,0.08846622,-1149.3928
1,7,250,0.2599291,0.34035778,0.28483465,0.70858777,0.085006714,0.09121163,-1176.5328
1,7,275,0.2563789,0.3428394,0.27561936,0.7043545,0.07777899,0.09730529,-1205.2393
1,7,300,0.24993561,0.3467741,0.26499346,0.6997415,0.07098711,0.10150514,-1235.5118
1,7,325,0.2456914,0.3513685,0.26068425,0.6814616,0.06509956,0.10921059,-1243.8374
1,7,350,0.2453799,0.3448567,0.25258106,0.6851108,0.059734277,0.11455441,-1249.5543
1,7,375,0.24321073,0.33811384,0.24460828,0.67455935,0.055004507,0.11910713,-1257.9673
1,7,400,0.24232839,0.33407408,0.23806952,0.6577323,0.05084703,0.124108106,-1262.1533
1,7,425,0.2421253,0.32445174,0.22754659,0.64279914,0.047204174,0.128567,-1289.5436
1,7,450,0.239778,0.31332248,0.21832716,0.6266434,0.043961857,0.1311415,-1294.4203
1,7,475,0.23799753,0.30539548,0.20700149,0.61193216,0.04115641,0.13709907,-1313.9579
1,7,500,0.23837024,0.29757294,0.20520386,0.58481944,0.038659777,0.13891767,-1307.7517
1,7,525,0.2348838,0.29707935,0.19652674,0.5778327,0.03659474,0.14177866,-1323.5167
1,7,550,0.23643519,0.29143444,0.19738314,0.57408756,0.034777265,0.14380024,-1330.5996
1,7,575,0.23340793,0.28619173,0.19387208,0.5703368,0.03321263,0.14469516,-1317.8351
1,7,600,0.23223463,0.29333147,0.18918046,0.546395,0.031913567,0.14590201,-1315.6852
1,7,625,0.23566535,0.2840272,0.18955334,0.56937516,0.030893838,0.14964677,-1326.6223
1,7,650,0.23469548,0.2819482,0.18931375,0.57277185,0.029971523,0.14696878,-1339.983
1,7,675,0.23533133,0.2814832,0.18966143,0.5758989,0.029240562,0.14856169,-1339.9602
1,7,700,0.23824802,0.28185648,0.19027787,0.56012005,0.028622253,0.14932401,-1335.279
1,7,725,0.2349486,0.2809701,0.18972208,0.5636901,0.028118894,0.1500198,-1329.6973
1,7,750,0.2353373,0.27976182,0.18413104,0.5498527,0.027719872,0.15238312,-1336.3801
1,7,775,0.23976095,0.28019682,0.18412757,0.55473626,0.027371034,0.15175453,-1325.5706
1,7,800,0.23798597,0.2795859,0.18954723,0.54900706,0.027086584,0.15224768,-1347.29
1,7,825,0.23680685,0.2787342,0.18239401,0.545128,0.026856251,0.15174255,-1335.7551
1,7,850,0.23668681,0.27869776,0.18620405,0.5401067,0.026664982,0.15306818,-1334.5857
1,7,875,0.2372147,0.28055948,0.18276863,0.53652686,0.026476925,0.15290338,-1336.5002
1,7,900,0.24049468,0.28123236,0.18355167,0.5418596,0.026326805,0.15040879,-1344.4646
1,7,925,0.24102682,0.28281143,0.18540941,0.5375476,0.026255393,0.15318428,-1336.5632
