outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,4,1000,0.11711955,0.29802114,0.21137278,0.49305537,0.03972146,-741.7662
1,5,0,0.45113075,0.079742074,0.16877802,-0.17111003,0.15205777,1653.8688
1,5,25,0.29473072,0.23071957,0.29850486,0.25195062,0.27125692,-403.2667
1,5,50,0.20470878,0.23813172,0.1375375,0.7687158,0.16465026,-544.53265
1,5,75,0.21323015,0.34706083,0.24783635,0.9468684,0.08779132,-664.8561
1,5,100,0.17358907,0.5864522,0.30909118,0.18628684,0.08888296,-611.4457
1,5,125,0.21322037,0.31526616,0.23933804,0.7507435,0.06991967,-677.9509
1,5,150,0.20913985,0.40162987,0.25800112,0.81017095,0.063512325,-699.548
1,5,175,0.18771264,0.43324974,0.26054692,0.7041657,0.04796644,-723.99854
1,5,200,0.18273947,0.39818078,0.252091,0.68479884,0.041502878,-734.25824
1,5,225,0.17430587,0.3716712,0.23240647,0.6424744,0.040637918,-746.7074
1,5,250,0.16401954,0.3384458,0.2099608,0.5723249,0.040220845,-762.76843
1,5,275,0.15798457,0.31459013,0.2032387,0.50888705,0.039294034,-770.27386
1,5,300,0.15561137,0.31446218,0.19946843,0.5273012,0.039433055,-770.2661
1,5,325,0.15635619,0.31348002,0.19972855,0.52438754,0.03943592,-771.6215
1,5,350,0.1566969,0.31265736,0.19940045,0.52228147,0.039355006,-770.3637
1,5,375,0.15637344,0.31344682,0.19852848,0.5211386,0.039330594,-771.91473
1,5,400,0.15656662,0.31291875,0.19877964,0.51966214,0.03932051,-769.64777
1,5,425,0.15628362,0.31250682,0.19817077,0.5204944,0.039344348,-772.35834
1,5,450,0.15610954,0.31337425,0.19882773,0.5162763,0.03922847,-770.3986
1,5,475,0.15671009,0.3133921,0.19792718,0.5180919,0.039232023,-770.6449
1,5,500,0.15615335,0.31363362,0.1990966,0.52003247,0.039259993,-771.54913
1,5,525,0.15680835,0.31447184,0.19815297,0.5183964,0.039404288,-770.6163
1,5,550,0.1564366,0.31306207,0.19808452,0.5198569,0.03920509,-770.75397
1,5,575,0.15573458,0.31348455,0.19860178,0.51817703,0.03926022,-771.0127
1,5,600,0.15625736,0.30874604,0.20574822,0.50140166,0.039294492,-769.98956
1,5,625,0.15673031,0.31223643,0.19710422,0.51863736,0.03938492,-768.6088
1,5,650,0.15624222,0.31323463,0.19760808,0.5194502,0.03928647,-771.1184
1,5,675,0.15635377,0.31422314,0.1984795,0.5193492,0.03924188,-771.53015
1,5,700,0.15607318,0.31264052,0.19894087,0.5211228,0.03926813,-771.75586
1,5,725,0.1558711,0.31199998,0.19852339,0.5236631,0.03930687,-771.7211
1,5,750,0.1561166,0.3133412,0.19833972,0.5207391,0.039349508,-771.0672
1,5,775,0.15661423,0.31403035,0.19854362,0.51810753,0.03928922,-770.1139
